Iteration,Average best solutions,Average of average solutions,P: Iteration,P: Population,P: Probability of crossing,P: Probability of mutation,P: No. crossing points,Out: Average time
0,2004.5342,2909.0837150666666,30,150,0.9,0.15,"1,2,3",0.6894218921661377
1,1866.8708000000001,2760.737020200002," "" "," "" "," "" "," "" "," "" "," "" "
2,1777.2700000000002,2717.9523524," "" "," "" "," "" "," "" "," "" "," "" "
3,1777.2700000000002,2722.8659447333343," "" "," "" "," "" "," "" "," "" "," "" "
4,1777.2700000000002,2648.035101733334," "" "," "" "," "" "," "" "," "" "," "" "
5,1777.2700000000002,2560.699269866668," "" "," "" "," "" "," "" "," "" "," "" "
6,1657.0000799999998,2524.397272933333," "" "," "" "," "" "," "" "," "" "," "" "
7,1657.0000799999998,2532.4226981333336," "" "," "" "," "" "," "" "," "" "," "" "
8,1657.0000799999998,2445.2627976666668," "" "," "" "," "" "," "" "," "" "," "" "
9,1657.0000799999998,2434.0928901333323," "" "," "" "," "" "," "" "," "" "," "" "
10,1657.0000799999998,2432.735193333332," "" "," "" "," "" "," "" "," "" "," "" "
11,1657.0000799999998,2466.5154885333336," "" "," "" "," "" "," "" "," "" "," "" "
12,1653.6135,2481.3309754666684," "" "," "" "," "" "," "" "," "" "," "" "
13,1653.6135,2477.701539666667," "" "," "" "," "" "," "" "," "" "," "" "
14,1653.6135,2488.8568802666673," "" "," "" "," "" "," "" "," "" "," "" "
15,1618.8691199999998,2447.3234509333333," "" "," "" "," "" "," "" "," "" "," "" "
16,1618.8691199999998,2437.4805041333334," "" "," "" "," "" "," "" "," "" "," "" "
17,1618.8691199999998,2500.934000133333," "" "," "" "," "" "," "" "," "" "," "" "
18,1502.352,2403.772892799999," "" "," "" "," "" "," "" "," "" "," "" "
19,1502.352,2415.2098923333324," "" "," "" "," "" "," "" "," "" "," "" "
20,1502.352,2397.145981266667," "" "," "" "," "" "," "" "," "" "," "" "
21,1502.352,2368.0096152," "" "," "" "," "" "," "" "," "" "," "" "
22,1502.352,2370.2577165333337," "" "," "" "," "" "," "" "," "" "," "" "
23,1502.352,2343.4902736666672," "" "," "" "," "" "," "" "," "" "," "" "
24,1502.352,2320.1653056666655," "" "," "" "," "" "," "" "," "" "," "" "
25,1502.352,2262.678628933334," "" "," "" "," "" "," "" "," "" "," "" "
26,1502.352,2240.3509650666647," "" "," "" "," "" "," "" "," "" "," "" "
27,1502.352,2219.947312133334," "" "," "" "," "" "," "" "," "" "," "" "
28,1502.352,2193.8525812000003," "" "," "" "," "" "," "" "," "" "," "" "
29,1502.352,2148.039397066667," "" "," "" "," "" "," "" "," "" "," "" "
